Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Student_Performance
S1012,John,Davis,student12@university.com,Male,21,Engineering,84.12,54.36,58.74,68.39,76.5,56.46,65.19,62.15,C,9,No,Yes,Bachelor's,Medium,10,7.9,Average
S1013,John,Williams,student13@university.com,Male,18,Business,100.0,92.26,100.0,86.69,92.14,94.06,96.93,94.46,A,30,No,Yes,PhD,Medium,4,5.0,Excellent
S1014,Liam,Williams,student14@university.com,Male,19,CS,93.52,92.9,90.63,93.63,90.97,93.23,93.69,92.44,A,25,No,Yes,Master's,High,8,6.9,Excellent
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,84.39,96.59,89.6,86.97,95.7,100.0,91.41,92.62,A,23,No,Yes,Bachelor's,High,6,6.2,Excellent
S1016,Maria,Jones,student16@university.com,Female,21,Business,88.83,85.78,78.18,79.86,72.0,78.97,85.04,80.78,B,17,Yes,Yes,,Medium,8,6.9,Good
S1017,Liam,Davis,student17@university.com,Female,23,CS,93.52,75.8,79.7,77.65,72.47,91.69,78.07,78.76,B,24,No,Yes,Master's,Medium,7,4.7,Good
S1018,Liam,Jones,student18@university.com,Male,20,Business,53.45,51.23,61.73,77.41,80.42,81.85,74.58,68.43,C,13,No,Yes,,Medium,2,6.3,Average
S1019,John,Johnson,student19@university.com,Male,20,CS,86.84,65.0,72.93,77.21,79.21,83.7,78.45,74.8,B,16,No,Yes,High School,Medium,9,4.2,Good
S1020,Emma,Davis,student20@university.com,Male,18,Business,63.22,68.97,63.09,54.23,61.01,80.51,57.0,63.25,C,12,No,Yes,Bachelor's,High,6,4.2,Average
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,97.05,90.9,92.97,93.75,92.45,98.17,97.55,94.06,A,24,Yes,Yes,Bachelor's,High,6,7.3,Excellent
S1022,Sara,Davis,student22@university.com,Male,22,Business,84.16,82.04,72.69,91.4,77.2,76.15,86.64,80.95,B,9,Yes,No,PhD,Medium,2,8.8,Good
S1023,Liam,Williams,student23@university.com,Female,23,CS,89.97,83.08,76.74,76.79,77.46,83.99,81.14,79.69,B,16,Yes,Yes,Bachelor's,High,9,7.9,Good
S1024,Maria,Williams,student24@university.com,Female,20,Business,92.6,81.08,75.39,78.44,82.43,85.69,74.39,78.52,B,15,No,Yes,,Low,1,6.3,Good
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,69.81,68.46,61.54,67.94,74.71,63.21,62.21,65.5,C,8,Yes,Yes,Master's,High,6,4.3,Average
S1026,Emma,Johnson,student26@university.com,Male,18,Business,100.0,94.0,93.37,83.92,84.73,89.66,96.75,91.52,A,24,No,Yes,High School,Medium,8,4.2,Excellent
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,94.73,43.65,70.43,80.42,84.97,76.44,81.43,70.83,B,20,Yes,Yes,Master's,High,2,4.8,Good
S1028,Liam,Davis,student28@university.com,Female,21,Engineering,92.86,75.97,77.15,86.01,61.78,86.07,76.08,77.38,B,20,Yes,Yes,,Low,3,8.9,Good
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,100.0,96.87,100.0,91.31,94.76,100.0,98.57,97.26,A,27,No,Yes,High School,Low,10,6.0,Excellent
S1030,Ahmed,Brown,student30@university.com,Female,22,Business,68.24,62.6,61.48,52.18,58.03,58.25,82.37,63.82,C,10,Yes,Yes,PhD,High,10,8.2,Average
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,91.29,92.76,91.07,92.22,98.48,91.89,92.97,92.78,A,21,No,No,Bachelor's,Low,7,7.5,Excellent
S1032,Maria,Smith,student32@university.com,Female,21,Business,94.58,86.94,90.55,91.81,87.85,91.54,84.97,88.73,A,20,Yes,Yes,Bachelor's,Low,1,7.0,Excellent
S1033,Sara,Williams,student33@university.com,Male,19,Engineering,58.83,47.6,42.24,45.82,25.42,36.91,37.48,40.68,D,9,No,Yes,PhD,High,5,8.7,Poor
S1034,Emma,Davis,student34@university.com,Female,21,CS,50.0,21.25,29.85,46.15,38.4,46.71,47.13,36.57,F,4,No,Yes,,High,6,5.2,Poor
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,62.92,55.63,58.54,73.61,60.17,80.21,64.51,63.74,C,3,No,Yes,PhD,High,10,6.3,Average
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,91.27,67.18,67.56,70.5,79.6,85.05,70.51,71.47,C,16,No,Yes,,Medium,7,8.3,Average
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,84.24,90.73,90.18,100.0,94.48,93.66,87.54,92.01,A,22,Yes,Yes,High School,Medium,10,6.8,Excellent
S1038,Ali,Williams,student38@university.com,Male,18,Business,93.49,34.81,49.27,57.1,58.95,65.61,63.2,52.94,D,10,No,Yes,Master's,Low,10,5.2,Poor
S1039,John,Johnson,student39@university.com,Female,23,Mathematics,89.96,80.65,76.81,73.46,86.47,81.41,80.11,79.16,B,18,Yes,Yes,Master's,Low,7,5.0,Good
S1040,John,Johnson,student40@university.com,Male,24,Business,95.54,94.77,89.67,93.44,86.94,96.81,86.28,91.02,A,24,No,Yes,PhD,High,3,7.8,Excellent
S1041,Omar,Smith,student41@university.com,Male,23,CS,86.12,76.75,70.88,79.23,66.71,78.71,80.56,75.61,B,13,No,Yes,Bachelor's,Low,7,4.1,Good
S1042,Sara,Davis,student42@university.com,Male,20,CS,100.0,96.33,89.37,87.67,94.85,97.14,88.77,91.71,A,21,No,Yes,PhD,High,1,8.6,Excellent
S1043,Liam,Williams,student43@university.com,Male,18,Engineering,58.46,49.19,46.57,55.01,33.29,53.92,42.5,46.95,D,5,No,Yes,Bachelor's,Medium,4,4.1,Poor
S1044,Maria,Smith,student44@university.com,Male,22,Business,73.36,77.19,77.18,84.86,82.76,71.51,87.83,80.46,B,22,Yes,Yes,PhD,High,7,7.2,Good
S1045,Maria,Brown,student45@university.com,Male,21,CS,66.92,71.01,61.53,56.27,56.71,56.15,63.28,61.97,C,13,Yes,No,PhD,Low,7,7.0,Average
S1046,Liam,Smith,student46@university.com,Male,24,CS,79.36,85.86,76.77,88.37,74.63,80.74,69.9,79.14,B,21,No,Yes,Master's,High,4,6.9,Good
S1047,Omar,Jones,student47@university.com,Female,23,Business,79.33,87.69,77.65,72.59,74.45,81.84,81.68,79.8,B,19,Yes,Yes,Bachelor's,High,1,6.4,Good
S1048,Emma,Smith,student48@university.com,Male,18,Engineering,84.23,75.16,76.45,79.91,81.28,82.04,77.38,77.94,B,17,Yes,Yes,Master's,High,8,8.3,Good
S1049,Emma,Jones,student49@university.com,Male,24,Engineering,76.63,21.64,68.85,90.71,97.99,97.8,90.52,72.83,C,23,No,Yes,Bachelor's,Low,4,7.3,Average
S1050,Omar,Jones,student50@university.com,Female,19,Engineering,50.0,51.73,35.19,48.7,38.93,44.48,29.29,40.65,F,1,Yes,Yes,High School,High,2,7.9,Poor
S1051,Emma,Jones,student51@university.com,Female,20,Engineering,51.99,63.14,62.69,78.86,77.85,70.1,69.01,68.73,C,7,No,Yes,High School,High,4,4.6,Average
S1052,John,Brown,student52@university.com,Female,19,CS,63.97,32.12,34.7,38.79,38.32,35.28,25.21,33.32,F,1,No,Yes,High School,Low,8,4.2,Poor
S1053,Maria,Smith,student53@university.com,Female,23,Business,68.21,42.39,42.95,65.74,30.81,14.7,42.14,42.06,D,10,Yes,Yes,,Medium,8,4.1,Poor
S1054,Omar,Smith,student54@university.com,Male,19,Business,74.48,70.62,75.94,82.98,75.21,81.36,95.87,80.39,B,19,Yes,Yes,Master's,Medium,5,4.7,Good
S1055,Maria,Brown,student55@university.com,Female,19,CS,58.23,44.68,41.83,55.86,40.98,43.08,41.08,44.39,D,3,No,Yes,Master's,Low,2,7.3,Poor
S1056,Liam,Williams,student56@university.com,Female,20,CS,94.74,93.11,89.23,90.15,91.89,94.85,97.63,92.65,A,19,No,Yes,High School,Medium,7,6.5,Excellent
S1057,Ali,Johnson,student57@university.com,Male,20,CS,84.32,96.31,93.94,87.47,86.73,92.02,98.87,93.52,A,30,No,No,PhD,High,3,7.8,Excellent
S1058,John,Smith,student58@university.com,Male,20,Mathematics,98.23,95.28,87.1,93.12,89.73,96.43,94.61,92.34,A,26,Yes,Yes,Master's,Low,6,5.0,Excellent
S1059,Ahmed,Johnson,student59@university.com,Male,24,Business,89.15,78.54,69.51,78.82,77.09,80.83,86.8,78.06,C,6,No,Yes,Bachelor's,High,9,5.8,Average
S1060,John,Davis,student60@university.com,Female,20,Business,98.24,67.23,72.46,81.17,77.89,79.67,86.74,76.84,B,14,No,No,Master's,High,5,8.4,Good
S1061,Omar,Davis,student61@university.com,Male,19,Business,91.67,80.44,78.35,74.17,69.72,78.24,85.17,78.63,B,20,No,No,Master's,Low,9,8.7,Good
S1062,Ahmed,Brown,student62@university.com,Female,22,Engineering,77.54,67.8,65.58,69.13,54.87,68.46,71.4,66.94,C,14,No,Yes,Bachelor's,High,4,8.6,Average
S1063,Ali,Davis,student63@university.com,Male,22,CS,83.86,82.25,78.19,82.11,84.42,81.84,74.71,79.88,B,15,No,Yes,High School,Low,9,8.1,Good
S1064,Omar,Davis,student64@university.com,Male,20,CS,86.49,73.95,74.29,79.13,73.25,80.15,68.64,74.3,B,18,Yes,Yes,High School,High,1,7.4,Good
S1065,Sara,Williams,student65@university.com,Female,24,CS,79.62,73.1,69.49,83.96,83.63,72.35,75.42,75.27,C,14,Yes,Yes,Bachelor's,Medium,4,8.6,Average
S1066,Maria,Williams,student66@university.com,Male,21,Mathematics,88.8,94.15,93.83,91.03,88.68,84.98,95.18,92.34,A,25,Yes,Yes,Master's,High,1,7.6,Excellent
S1067,Ali,Williams,student67@university.com,Male,18,Business,88.01,64.22,65.43,75.89,49.53,40.84,66.47,62.92,C,14,Yes,Yes,Master's,High,9,8.8,Average
S1068,Maria,Davis,student68@university.com,Male,23,CS,97.53,91.05,89.37,89.54,94.04,90.13,94.38,91.28,A,28,Yes,Yes,High School,Low,8,4.1,Excellent
S1069,Emma,Brown,student69@university.com,Male,24,Mathematics,96.84,92.97,54.16,48.92,34.91,39.74,27.31,52.4,D,3,No,Yes,,Medium,8,8.6,Average
S1070,Sara,Jones,student70@university.com,Male,21,CS,69.91,57.81,56.38,66.22,53.42,73.97,65.0,61.33,C,8,Yes,No,High School,High,7,6.8,Average
S1071,Sara,Jones,student71@university.com,Female,23,Engineering,88.27,90.78,88.6,96.13,85.66,91.71,90.48,90.56,A,22,No,Yes,Bachelor's,High,9,4.6,Excellent
S1072,Ali,Johnson,student72@university.com,Female,21,Business,94.31,87.62,94.59,96.37,91.31,95.97,96.25,93.61,A,26,Yes,Yes,,Medium,3,5.1,Excellent
S1073,Sara,Jones,student73@university.com,Male,21,Mathematics,84.23,61.17,65.28,67.12,55.34,45.49,63.93,61.49,C,13,Yes,Yes,,Medium,7,8.3,Average
S1074,Ahmed,Jones,student74@university.com,Female,22,CS,66.84,69.72,64.96,74.89,60.71,66.58,60.06,66.16,C,12,No,Yes,Bachelor's,Medium,6,6.5,Average
S1075,Sara,Williams,student75@university.com,Female,18,Business,55.56,71.63,56.4,63.88,56.4,65.0,69.81,64.11,C,0,Yes,Yes,PhD,Medium,5,8.9,Average
S1076,Maria,Williams,student76@university.com,Female,21,Mathematics,84.52,57.6,56.97,55.23,55.93,63.82,61.37,58.3,C,11,Yes,Yes,High School,Medium,9,4.6,Average
S1077,Maria,Davis,student77@university.com,Male,20,Business,98.35,91.5,90.11,95.11,84.31,100.0,91.62,91.85,A,21,No,Yes,Master's,High,4,6.1,Excellent
S1078,Omar,Johnson,student78@university.com,Male,23,Business,92.88,68.68,75.99,84.91,80.26,76.59,74.78,76.11,B,13,Yes,Yes,High School,Medium,3,5.7,Good
S1079,Maria,Smith,student79@university.com,Male,24,Engineering,92.28,98.21,91.7,87.5,93.19,93.36,95.02,93.35,A,24,Yes,Yes,Bachelor's,Medium,3,6.6,Excellent
S1080,Omar,Johnson,student80@university.com,Female,22,Business,50.0,40.41,32.77,34.98,47.41,34.87,42.71,38.29,F,0,Yes,Yes,Master's,High,2,7.2,Poor
S1081,Maria,Johnson,student81@university.com,Female,23,Mathematics,70.22,60.47,59.28,84.3,66.28,64.85,62.9,65.25,C,12,No,Yes,PhD,Low,1,7.3,Average
S1082,Ahmed,Brown,student82@university.com,Male,20,Business,85.14,70.92,79.78,86.69,82.29,86.31,82.63,80.52,B,20,Yes,Yes,Bachelor's,High,3,4.0,Good
S1083,Liam,Davis,student83@university.com,Male,20,Mathematics,88.8,92.96,89.5,90.23,87.13,95.51,99.75,92.72,A,20,Yes,Yes,High School,Low,8,4.4,Excellent
S1084,Omar,Brown,student84@university.com,Female,21,Business,95.43,78.99,73.27,80.31,79.04,83.46,78.66,78.14,B,11,No,Yes,,Medium,6,4.2,Good
S1085,John,Johnson,student85@university.com,Female,20,CS,77.59,44.51,70.76,79.38,68.14,80.94,89.97,71.4,B,18,Yes,Yes,Bachelor's,Low,2,8.3,Good
S1086,Emma,Johnson,student86@university.com,Male,18,Engineering,75.58,51.92,54.23,60.07,57.0,62.46,75.25,59.95,D,5,No,Yes,Bachelor's,High,8,5.6,Average
S1087,Ali,Johnson,student87@university.com,Female,20,CS,61.89,63.97,57.4,68.99,69.12,77.64,56.88,63.54,C,4,No,Yes,High School,Low,5,5.8,Average
S1088,Maria,Jones,student88@university.com,Female,21,Engineering,56.82,37.66,38.69,49.66,49.87,39.24,41.8,41.92,F,2,No,Yes,PhD,Low,4,6.3,Poor
S1089,Sara,Brown,student89@university.com,Female,23,Mathematics,83.67,90.54,78.01,70.35,79.11,94.14,80.04,81.5,B,16,No,Yes,High School,Low,1,8.2,Good
S1090,Liam,Johnson,student90@university.com,Female,20,Engineering,93.67,89.1,89.19,98.86,78.94,100.0,84.88,89.82,A,23,Yes,Yes,High School,Medium,1,4.1,Excellent
S1091,Maria,Williams,student91@university.com,Female,22,Business,71.9,66.71,60.68,52.22,63.7,81.19,54.09,61.65,C,7,Yes,Yes,PhD,High,4,4.6,Average
S1092,Sara,Davis,student92@university.com,Female,24,Business,68.09,65.41,60.37,65.15,54.87,68.9,79.43,66.21,C,12,No,Yes,PhD,Low,9,7.4,Average
S1093,Emma,Davis,student93@university.com,Female,22,CS,82.81,70.24,76.2,74.26,80.83,90.9,82.13,77.84,B,17,Yes,Yes,Bachelor's,Medium,10,8.8,Good
S1094,Emma,Williams,student94@university.com,Male,22,Engineering,72.66,52.0,57.2,69.84,67.06,61.38,61.24,60.27,C,8,Yes,Yes,,High,10,7.2,Average
S1095,Emma,Davis,student95@university.com,Male,23,Mathematics,90.21,77.6,78.25,92.6,76.52,79.85,76.11,79.83,B,17,Yes,No,High School,High,6,5.3,Good
S1096,Sara,Jones,student96@university.com,Female,19,Mathematics,92.05,74.1,77.41,87.93,86.52,78.4,68.8,77.61,B,15,No,Yes,,High,1,6.6,Good
S1097,Maria,Jones,student97@university.com,Female,24,Business,85.1,82.74,75.01,68.18,83.36,74.73,84.38,78.21,B,14,Yes,Yes,PhD,High,8,8.9,Good
S1098,Emma,Smith,student98@university.com,Female,22,Mathematics,87.18,87.96,94.57,95.43,90.53,97.92,100.0,94.39,A,29,No,No,PhD,Medium,9,6.6,Excellent
S1099,Ahmed,Smith,student99@university.com,Male,22,Business,94.36,90.52,93.71,87.51,83.35,94.05,96.61,91.72,A,29,No,Yes,High School,High,2,5.9,Excellent
S1100,Omar,Smith,student100@university.com,Male,19,Business,92.9,82.74,83.53,91.94,83.74,96.82,96.43,88.56,B,17,Yes,Yes,Bachelor's,Low,6,5.9,Good
S1101,Sara,Davis,student101@university.com,Female,23,Business,76.8,63.59,63.88,68.49,63.23,74.89,56.43,64.06,C,14,Yes,Yes,High School,High,7,8.8,Average
S1102,Sara,Jones,student102@university.com,Male,24,CS,81.59,67.33,72.11,81.92,74.97,81.51,82.09,75.85,B,15,No,Yes,Bachelor's,High,1,7.6,Good
S1103,Maria,Jones,student103@university.com,Female,22,CS,89.66,78.2,75.43,73.48,71.49,86.08,73.11,75.9,B,19,No,Yes,Master's,Medium,5,7.4,Good
S1104,Sara,Jones,student104@university.com,Female,21,Business,60.54,22.74,34.43,38.22,51.94,30.19,40.36,35.17,F,7,No,No,Bachelor's,Low,5,5.2,Poor
S1105,Sara,Williams,student105@university.com,Female,23,Business,95.43,88.74,91.5,89.01,97.11,100.0,96.89,93.06,A,22,Yes,Yes,High School,Low,3,6.8,Excellent
S1106,Emma,Jones,student106@university.com,Female,24,Business,74.48,73.02,79.05,83.14,80.51,90.41,83.9,80.71,B,22,No,Yes,High School,Medium,2,5.8,Good
S1107,Maria,Williams,student107@university.com,Female,22,Mathematics,76.07,54.02,63.66,61.93,62.0,80.97,89.88,68.28,C,9,Yes,Yes,Bachelor's,Medium,1,5.2,Average
S1108,Emma,Smith,student108@university.com,Female,22,Business,97.49,92.67,93.15,96.44,88.4,100.0,93.15,93.76,A,26,Yes,Yes,,Low,6,8.5,Excellent
S1109,Omar,Smith,student109@university.com,Female,19,Business,97.2,92.11,87.55,96.19,86.91,92.21,86.5,89.95,A,27,Yes,Yes,Bachelor's,Low,7,5.9,Excellent
S1110,Liam,Davis,student110@university.com,Male,24,Engineering,51.24,59.88,71.09,90.05,77.97,86.01,73.45,74.34,B,20,Yes,Yes,Master's,High,2,5.4,Good
S1111,Omar,Smith,student111@university.com,Female,21,Engineering,99.45,94.25,91.48,90.53,89.64,87.41,90.21,91.05,A,26,No,Yes,Master's,Medium,2,8.7,Excellent
S1112,Liam,Davis,student112@university.com,Male,23,Engineering,60.05,45.01,42.83,45.5,40.07,33.4,51.99,44.28,D,6,No,Yes,,Low,5,5.0,Poor
S1113,Emma,Johnson,student113@university.com,Female,20,Engineering,76.93,57.79,53.53,47.77,68.78,61.17,58.1,56.72,D,8,No,Yes,Master's,Low,5,7.7,Average
S1114,Omar,Johnson,student114@university.com,Female,18,Business,72.61,70.48,59.54,69.94,65.47,54.07,74.7,66.37,C,8,No,Yes,High School,Medium,3,7.3,Average
S1115,Maria,Brown,student115@university.com,Male,21,Engineering,50.0,41.43,37.11,27.24,44.09,29.71,31.47,35.32,F,8,No,Yes,,Medium,3,8.6,Poor
S1116,Ali,Davis,student116@university.com,Male,20,Mathematics,82.36,56.97,57.0,77.27,55.71,51.34,56.07,59.15,C,9,No,Yes,,Low,1,8.2,Average
S1117,Emma,Brown,student117@university.com,Female,21,Mathematics,84.66,42.05,77.96,92.8,92.51,100.0,99.24,80.92,B,21,No,Yes,,Medium,3,7.5,Good
S1118,Liam,Brown,student118@university.com,Male,24,Engineering,54.42,35.87,36.69,47.6,30.36,30.43,48.44,39.25,F,5,Yes,Yes,Bachelor's,Low,9,5.6,Poor
S1119,Ahmed,Johnson,student119@university.com,Female,20,CS,72.08,73.45,73.26,78.62,72.45,87.34,86.21,78.02,B,14,No,Yes,Bachelor's,Low,2,6.5,Good
S1120,Liam,Davis,student120@university.com,Female,24,Mathematics,59.96,50.03,51.27,59.8,59.33,53.4,57.63,54.59,D,10,Yes,Yes,,High,1,8.7,Average
S1121,Ahmed,Johnson,student121@university.com,Male,20,Mathematics,64.56,37.06,37.44,37.78,41.77,34.53,42.28,38.52,F,9,Yes,Yes,Master's,High,9,4.1,Poor
S1122,Sara,Brown,student122@university.com,Male,21,Engineering,95.77,70.2,76.09,84.98,82.87,75.11,84.91,78.59,B,13,No,No,High School,Medium,5,8.0,Good
S1123,Omar,Davis,student123@university.com,Male,19,Engineering,96.95,85.41,87.57,97.09,91.36,97.76,93.7,91.19,A,21,No,Yes,High School,Medium,8,5.3,Excellent
S1124,Ahmed,Brown,student124@university.com,Male,21,Business,97.57,95.24,92.67,97.85,88.85,94.78,84.34,92.12,A,26,No,Yes,Bachelor's,Low,4,4.9,Excellent
S1125,Liam,Jones,student125@university.com,Female,24,Mathematics,84.84,77.63,77.65,86.75,76.0,85.39,73.88,78.87,B,17,No,Yes,PhD,High,8,5.2,Good
S1126,Sara,Davis,student126@university.com,Male,21,Engineering,53.93,63.8,59.47,62.04,58.95,71.61,61.51,62.29,C,16,Yes,Yes,,Medium,5,4.3,Average
S1127,Ali,Davis,student127@university.com,Male,20,Engineering,58.53,53.81,38.44,32.08,46.9,34.97,47.63,42.9,F,4,Yes,No,PhD,Low,6,9.0,Poor
S1128,Maria,Brown,student128@university.com,Male,18,Business,91.42,86.08,94.89,88.55,85.42,90.84,91.66,90.18,A,27,Yes,Yes,High School,High,6,8.3,Excellent
S1129,Maria,Jones,student129@university.com,Male,20,Mathematics,85.53,86.92,79.31,76.52,79.44,85.0,82.83,81.7,B,20,Yes,Yes,Bachelor's,Low,6,6.6,Good
S1130,Maria,Williams,student130@university.com,Male,22,Engineering,62.8,37.9,66.57,72.57,83.21,87.32,75.42,67.24,C,20,No,Yes,Bachelor's,High,2,7.6,Average
S1131,Ahmed,Johnson,student131@university.com,Female,21,Business,55.5,40.56,80.51,97.36,100.0,91.07,85.09,78.97,B,27,Yes,Yes,Bachelor's,Low,10,6.8,Good
S1132,Ali,Brown,student132@university.com,Female,23,Engineering,100.0,88.85,95.6,99.27,83.31,98.46,88.97,92.53,A,30,Yes,Yes,Bachelor's,High,10,8.1,Excellent
S1133,Ahmed,Davis,student133@university.com,Male,21,CS,85.18,73.4,70.86,76.7,83.16,79.68,79.73,76.13,B,10,No,No,Bachelor's,Low,9,8.2,Good
S1134,Omar,Johnson,student134@university.com,Male,19,CS,64.76,39.86,37.8,38.1,35.07,54.44,32.43,38.57,F,4,No,Yes,,Low,7,5.2,Poor
S1135,Ahmed,Johnson,student135@university.com,Female,24,Engineering,65.54,44.41,65.2,84.74,80.04,85.42,85.81,71.6,C,15,No,Yes,PhD,Medium,3,6.3,Average
S1136,Ali,Johnson,student136@university.com,Male,23,Mathematics,75.74,71.49,77.71,75.05,95.69,89.47,71.89,77.88,B,19,Yes,Yes,High School,High,2,7.2,Good
S1137,Ali,Williams,student137@university.com,Female,20,CS,70.86,66.38,58.34,69.39,57.96,64.0,67.62,63.99,C,1,No,Yes,High School,High,4,8.9,Average
S1138,Omar,Smith,student138@university.com,Female,19,Business,82.81,76.62,78.11,74.89,79.05,99.91,82.2,80.42,B,21,No,Yes,Bachelor's,Medium,8,7.4,Good
S1139,Ali,Brown,student139@university.com,Male,21,Engineering,60.68,44.83,38.77,49.2,46.07,60.57,33.69,43.44,F,2,Yes,Yes,Bachelor's,Medium,9,8.5,Poor
S1140,Liam,Smith,student140@university.com,Female,20,Business,66.02,45.56,36.06,35.81,35.83,37.05,54.76,41.74,F,1,No,Yes,Bachelor's,Low,10,8.2,Poor
S1141,Ali,Smith,student141@university.com,Male,20,CS,100.0,78.33,79.75,75.74,70.45,80.7,78.15,77.71,B,19,Yes,Yes,Master's,High,2,6.9,Good
S1142,Maria,Smith,student142@university.com,Male,22,Mathematics,71.84,69.73,77.35,76.61,84.13,94.53,70.48,76.74,B,25,No,Yes,High School,Low,6,8.5,Good
S1143,Liam,Johnson,student143@university.com,Female,22,Business,87.29,80.34,77.81,74.79,81.21,66.19,80.02,77.48,B,21,No,No,Bachelor's,Low,8,5.9,Good
S1144,Liam,Jones,student144@university.com,Female,18,CS,82.14,71.92,70.01,80.51,72.45,83.53,74.63,74.49,B,14,No,Yes,PhD,Low,3,5.9,Good
S1145,Omar,Johnson,student145@university.com,Male,22,CS,93.5,93.26,86.56,96.29,88.83,95.19,84.76,90.09,A,24,No,Yes,Master's,Medium,9,7.9,Excellent
S1146,John,Johnson,student146@university.com,Female,24,CS,87.59,82.97,70.38,56.1,71.71,72.97,67.25,70.52,B,11,Yes,Yes,,High,4,4.7,Good
S1147,John,Davis,student147@university.com,Male,23,Business,75.77,80.33,77.05,79.68,85.34,88.58,76.25,79.92,B,17,Yes,Yes,Master's,Medium,5,5.5,Good
S1148,Ali,Davis,student148@university.com,Female,20,CS,95.29,86.0,93.21,91.68,96.19,92.71,91.79,91.5,A,27,Yes,Yes,Master's,Medium,7,7.0,Excellent
S1149,Liam,Smith,student149@university.com,Female,22,Engineering,71.86,64.52,72.21,76.36,79.27,89.2,77.05,74.67,B,20,No,Yes,Master's,High,5,6.1,Good
S1150,John,Johnson,student150@university.com,Male,18,CS,50.0,33.65,34.32,33.1,33.76,38.15,38.95,35.26,F,7,Yes,Yes,PhD,High,4,8.7,Poor
S1151,John,Smith,student151@university.com,Male,21,Engineering,86.29,46.39,81.42,95.26,84.31,93.99,91.97,80.15,B,27,Yes,Yes,High School,Medium,4,8.8,Good
S1152,Ali,Davis,student152@university.com,Male,23,Mathematics,98.95,86.33,93.23,92.41,92.29,100.0,95.52,92.77,A,25,No,Yes,Bachelor's,Medium,5,6.5,Excellent
S1153,John,Jones,student153@university.com,Female,22,Engineering,81.9,86.46,81.12,82.46,72.83,90.42,84.19,83.1,B,16,Yes,Yes,PhD,Medium,3,6.7,Good
S1154,Ahmed,Brown,student154@university.com,Male,20,Mathematics,78.26,43.19,45.64,49.63,41.97,43.11,62.0,48.4,D,5,Yes,Yes,PhD,High,9,7.6,Poor
